"Player","Source","Target","Value"
"Hyun-Jun Suk","FC Porto","ES Troyes AC","Loan fee:0"
"Franck Grandel","US Boulogne","ES Troyes AC","Loan End"
"Thiago Xavier","ES Troyes AC","Valenciennes FC ","0"
"Mour Paye","ES Troyes AC","US Créteil-Lusitanos","0"
"Randi Goteni","ES Troyes AC","AS Béziers","Loan fee:0"
"Mory Koné","ES Troyes AC","Tours FC","Loan fee:0"
"Johan Martial","ES Troyes AC","Maccabi Petah Tikva","?"
"Rincón","ES Troyes AC","Free agent","0"
"Yanis Hamzaoui","ES Troyes AC","Free agent","0"
"Franck Grandel","ES Troyes AC","Retired","0"
"Mahamadou N'Diaye","ES Troyes AC","Free agent","0"
"Theo Hernández","Atlético Madrid","Real Madrid","24000000"
"Dani Ceballos","Real Betis Balompié","Real Madrid","16500000"
"Achraf Hakimi","Real Madrid Castilla","Real Madrid","0"
"Diego Llorente","Málaga CF","Real Madrid","Loan End"
"Burgui","Sporting Gijón","Real Madrid","Loan End"
"Marcos Llorente","Deportivo Alavés","Real Madrid","Loan End"
"Álvaro Morata","Real Madrid","Chelsea FC","66000000"
"Danilo","Real Madrid","Manchester City","30000000"
"Diego Llorente","Real Madrid","Real Sociedad","7000000"
"Burgui","Real Madrid","Deportivo Alavés","3000000"
"Fábio Coentrão","Real Madrid","Sporting CP","Loan fee:1000000"
"Pepe","Real Madrid","Besiktas JK","0"
"Rubén Yáñez","Real Madrid","Getafe CF","0"
"Philippe Coutinho","Liverpool FC","FC Barcelona","120000000"
"Paulinho","Guangzhou Evergrande Taobao","FC Barcelona","40000000"
"Nélson Semedo","SL Benfica","FC Barcelona","30570000"
"Gerard Deulofeu","Everton FC","FC Barcelona","12000000"
"Yerry Mina","Sociedade Esportiva Palmeiras","FC Barcelona","11800000"
"Marlon","Fluminense Football Club","FC Barcelona","5000000"
"Sergi Samper","UD Las Palmas","FC Barcelona","Loan End"
"Thomas Vermaelen","AS Roma","FC Barcelona","Loan End"
"Douglas","Sporting Gijón","FC Barcelona","Loan End"
"Sergi Samper","Granada CF","FC Barcelona","Loan End"
"Cristian Tello","ACF Fiorentina","FC Barcelona","Loan End"
"Munir El Haddadi","Valencia CF","FC Barcelona","Loan End"
"Javier Mascherano","FC Barcelona","Hebei China Fortune","5500000"
"Cristian Tello","FC Barcelona","Real Betis Balompié","4000000"
"Gerard Deulofeu","FC Barcelona","Watford FC","Loan fee:1000000"
"Jérémy Mathieu","FC Barcelona","Sporting CP","0"
"Arda Turan","FC Barcelona","Basaksehir","Loan fee:0"
"Jordi Masip","FC Barcelona","Real Valladolid CF","0"
"Sergi Samper","FC Barcelona","UD Las Palmas","Loan fee:0"
"Munir El Haddadi","FC Barcelona","Deportivo Alavés","Loan fee:0"
"Rafinha","FC Barcelona","Inter Milan","Loan fee:0"
"Douglas","FC Barcelona","SL Benfica","Loan fee:0"
"Diego Costa","Chelsea FC","Atlético Madrid","66000000"
"Vitolo","Sevilla FC","Atlético Madrid","36000000"
"André Moreira","SC Braga","Atlético Madrid","Loan End"
"Vitolo","UD Las Palmas","Atlético Madrid","Loan End"
"Guilherme Siqueira","Valencia CF","Atlético Madrid","Loan End"
"Theo Hernández","Deportivo Alavés","Atlético Madrid","Loan End"
"Bernard Mensah","Vitória Guimarães SC","Atlético Madrid","Loan End"
"Óliver Torres","FC Porto","Atlético Madrid","Loan End"
"Luciano Vietto","Sevilla FC","Atlético Madrid","Loan End"
"Santos Borré","Villarreal CF","Atlético Madrid","Loan End"
"Javier Manquillo","Sunderland AFC","Atlético Madrid","Loan End"
"Amath Ndiaye","CD Tenerife","Atlético Madrid","Loan End"
"Matías Kranevitter","Sevilla FC","Atlético Madrid","Loan End"
"Axel Werner","Club Atlético Boca Juniors","Atlético Madrid","Loan End"
"Emiliano Velázquez","SC Braga","Atlético Madrid","Loan End"
"Diogo Jota","FC Porto","Atlético Madrid","Loan End"
"Yannick Carrasco","Atlético Madrid","Dalian Yifang","30000000"
"Óliver Torres","Atlético Madrid","FC Porto","20000000"
"Matías Kranevitter","Atlético Madrid","Zenit St. Petersburg","8000000"
"Nico Gaitán","Atlético Madrid","Dalian Yifang","5750000"
"Javier Manquillo","Atlético Madrid","Newcastle United","5000000"
"Augusto Fernández","Atlético Madrid","Beijing Renhe","4500000"
"Santos Borré","Atlético Madrid","Club Atlético River Plate","3000000"
"Amath Ndiaye","Atlético Madrid","Getafe CF","3000000"
"Alessio Cerci","Atlético Madrid","Hellas Verona","0"
"Miguel Ángel Moyà","Atlético Madrid","Real Sociedad","0"
"André Moreira","Atlético Madrid","SC Braga","Loan fee:0"
"Diogo Jota","Atlético Madrid","Wolverhampton Wanderers","Loan fee:0"
"Vitolo","Atlético Madrid","UD Las Palmas","Loan fee:0"
"Bernard Mensah","Atlético Madrid","Kasimpasa","Loan fee:0"
"Emiliano Velázquez","Atlético Madrid","Rayo Vallecano","Loan fee:0"
"Luciano Vietto","Atlético Madrid","Valencia CF","Loan fee:0"
"Tiago","Atlético Madrid","Retired","0"
"Guilherme Siqueira","Atlético Madrid","Free agent","0"
"Luis Muriel","UC Sampdoria","Sevilla FC","21500000"
"Simon Kjaer","Fenerbahce SK","Sevilla FC","12500000"
"Guilherme Arana","Sport Club Corinthians Paulista","Sevilla FC","11000000"
"Guido Pizarro","Tigres UANL","Sevilla FC","8700000"
"Nolito","Manchester City","Sevilla FC","7000000"
"Éver Banega","Inter Milan","Sevilla FC","7000000"
"Lionel Carole","Galatasaray SK","Sevilla FC","Loan fee:350000"
"Jesús Navas","Manchester City","Sevilla FC","0"
"Miguel Layún","FC Porto","Sevilla FC","Loan fee:0"
"Sandro Ramírez","Everton FC","Sevilla FC","Loan fee:0"
"Roque Mesa","Swansea City","Sevilla FC","Loan fee:0"
"Borja Lasso","Sevilla Atlético","Sevilla FC","0"
"Juan Muñoz","Levante UD","Sevilla FC","Loan End"
"Sebastián Cristóforo","ACF Fiorentina","Sevilla FC","Loan End"
"Vicente Iborra","Sevilla FC","Leicester City","15000000"
"Walter Montoya","Sevilla FC","CD Cruz Azul","5500000"
"Mariano","Sevilla FC","Galatasaray SK","4000000"
"Sebastián Cristóforo","Sevilla FC","ACF Fiorentina","2500000"
"Michael Krohn-Dehli","Sevilla FC","Deportivo de La Coruña","0"
"Borja Lasso","Sevilla FC","CA Osasuna","Loan fee:0"
"Benoît Trémoulinas","Sevilla FC","Free agent","0"
"Juan Muñoz","Sevilla FC","UD Almería","Loan fee:0"
"Stevan Jovetic","Sevilla FC","Inter Milan","Loan End"
"Samir Nasri","Sevilla FC","Manchester City","Loan End"
"Rúben Semedo","Sporting CP","Villarreal CF","14000000"
"Enes Ünal","Manchester City","Villarreal CF","14000000"
"Pablo Fornals","Málaga CF","Villarreal CF","12000000"
"Carlos Bacca","AC Milan","Villarreal CF","Loan fee:2500000"
"Andrés Fernández","FC Porto","Villarreal CF","2000000"
"Javi Fuego","RCD Espanyol Barcelona","Villarreal CF","1500000"
"Salem Al-Dawsari","Al-Hilal Riyadh","Villarreal CF","Loan fee:0"
"Enes Ünal","Levante UD","Villarreal CF","Loan End"
"Akram Afif","KAS Eupen","Villarreal CF","Loan End"
"Matías Nahuel","Real Betis Balompié","Villarreal CF","Loan End"
"Roger Martínez","Jiangsu Suning","Villarreal CF","Loan fee:0"
"Akram Afif","Sporting Gijón","Villarreal CF","Loan End"
"Cristian Espinoza","Real Valladolid CF","Villarreal CF","Loan End"
"Adrián Marín","CD Leganés","Villarreal CF","Loan End"
"Alfred N'Diaye","Hull City","Villarreal CF","Loan End"
"Pablo Iñiguez","Rayo Vallecano","Villarreal CF","Loan End"
"Alfonso Pedraza","Leeds United","Villarreal CF","Loan End"
"Cédric Bakambu","Villarreal CF","Beijing Sinobo Guoan","40000000"
"Mateo Musacchio","Villarreal CF","AC Milan","18000000"
"Roberto Soldado","Villarreal CF","Fenerbahce SK","5000000"
"Jonathan dos Santos","Villarreal CF","Los Angeles Galaxy","4300000"
"Pablo Iñiguez","Villarreal CF","CF Reus Deportiu","0"
"Akram Afif","Villarreal CF","Al Sadd Sports Club","Loan fee:0"
"Alfred N'Diaye","Villarreal CF","Wolverhampton Wanderers","Loan fee:0"
"Alfonso Pedraza","Villarreal CF","Deportivo Alavés","Loan fee:0"
"Cristian Espinoza","Villarreal CF","Club Atlético Boca Juniors","Loan fee:0"
"Salem Al-Dawsari","Villarreal CF","Al-Hilal Riyadh","Loan End"
"Enes Ünal","Villarreal CF","Levante UD","Loan fee:0"
"José Ángel","Villarreal CF","FC Porto","Loan End"
"Andrés Fernández","Villarreal CF","FC Porto","Loan End"
"Adrián López","Villarreal CF","FC Porto","Loan End"
"Adnan Januzaj","Manchester United","Real Sociedad","8500000"
"Héctor Moreno","AS Roma","Real Sociedad","6000000"
"Srdjan Babic","Red Star Belgrade","Real Sociedad","Loan End"
"Alain Oyarzun","CD Mirandés","Real Sociedad","Loan End"
"Rubén Pardo","Real Betis Balompié","Real Sociedad","Loan End"
"Srdjan Babic","CF Reus Deportiu","Real Sociedad","Loan End"
"Pablo Hervías","Elche CF","Real Sociedad","Loan End"
"Héctor Hernández","Granada CF","Real Sociedad","Loan End"
"Iñigo Martínez","Real Sociedad","Athletic Bilbao","32000000"
"Carlos Vela","Real Sociedad","Los Angeles FC","5000000"
"Alain Oyarzun","Real Sociedad","Real Zaragoza","0"
"Esteban Granero","Real Sociedad","RCD Espanyol Barcelona","0"
"Mikel González","Real Sociedad","Real Zaragoza","0"
"Pablo Hervías","Real Sociedad","SD Eibar","0"
"Ander Bardají","Real Sociedad","SD Huesca","0"
"Jon Gaztañaga","Real Sociedad","Gimnàstic de Tarragona","0"
"Joseba Zaldua","Real Sociedad","CD Leganés","Loan fee:0"
"Markel Bergara","Real Sociedad","Getafe CF","Loan fee:0"
"Héctor Hernández","Real Sociedad","Deportivo Alavés","Loan fee:0"
"Srdjan Babic","Real Sociedad","Red Star Belgrade","Loan fee:0"
"Asier Villalibre","Real Valladolid CF","Athletic Bilbao","Loan End"
"Unai Núñez","Bilbao Athletic","Athletic Bilbao","0"
"Iñigo Córdoba","Bilbao Athletic","Athletic Bilbao","0"
"Gorka Santamaría","Cádiz CF","Athletic Bilbao","Loan End"
"Mikel Vesga","Sporting Gijón","Athletic Bilbao","Loan End"
"Asier Villalibre","CD Numancia","Athletic Bilbao","Loan End"
"Urtzi Iriondo","Elche CF","Athletic Bilbao","Loan End"
"Iago Herrerín","CD Leganés","Athletic Bilbao","Loan End"
"Kike Sola","CD Numancia","Athletic Bilbao","Loan End"
"Markel Etxeberria","Real Valladolid CF","Athletic Bilbao","Loan End"
"Unai López","CD Leganés","Athletic Bilbao","Loan End"
"Ager Aketxe","Cádiz CF","Athletic Bilbao","Loan End"
"Aymeric Laporte","Athletic Bilbao","Manchester City","65000000"
"Gorka Santamaría","Athletic Bilbao","Recreativo Huelva","0"
"Gorka Elustondo","Athletic Bilbao","Atlético Nacional","0"
"Gorka Iraizoz","Athletic Bilbao","Girona FC","0"
"Eneko Bóveda","Athletic Bilbao","Deportivo de La Coruña","0"
"Ager Aketxe","Athletic Bilbao","Toronto FC","0"
"Javi Eraso","Athletic Bilbao","CD Leganés","0"
"Asier Villalibre","Athletic Bilbao","Lorca FC","Loan fee:0"
"Alex Remiro","Athletic Bilbao","SD Huesca","Loan fee:0"
"Markel Etxeberria","Athletic Bilbao","CD Numancia","Loan fee:0"
"Unai López","Athletic Bilbao","Rayo Vallecano","Loan fee:0"
"Urtzi Iriondo","Athletic Bilbao","Granada CF","Loan fee:0"
"Naldo","FK Krasnodar","RCD Espanyol Barcelona","2500000"
"Pablo Piatti","Valencia CF","RCD Espanyol Barcelona","1300000"
"Mario Hermoso","Real Madrid Castilla","RCD Espanyol Barcelona","400000"
"Dídac Vilà","AEK Athens","RCD Espanyol Barcelona","250000"
"Sergio García","Al Rayyan Sports Club","RCD Espanyol Barcelona","0"
"Diego López","AC Milan","RCD Espanyol Barcelona","0"
"Sergio Sánchez","Rubin Kazan","RCD Espanyol Barcelona","Loan fee:0"
"Carlos Sánchez","ACF Fiorentina","RCD Espanyol Barcelona","Loan fee:0"
"Paco Montañés","Levante UD","RCD Espanyol Barcelona","Loan End"
"Jairo Morillas","CD Numancia","RCD Espanyol Barcelona","Loan End"
"Joan Jordán","Real Valladolid CF","RCD Espanyol Barcelona","Loan End"
"Roberto Correa","Elche CF","RCD Espanyol Barcelona","Loan End"
"Pau López","Tottenham Hotspur","RCD Espanyol Barcelona","Loan End"
"Mamadou Sylla","KAS Eupen","RCD Espanyol Barcelona","Loan End"
"Felipe Caicedo","RCD Espanyol Barcelona","SS Lazio","2500000"
"Mamadou Sylla","RCD Espanyol Barcelona","KAS Eupen","2300000"
"Joan Jordán","RCD Espanyol Barcelona","SD Eibar","1000000"
"Rubén Duarte","RCD Espanyol Barcelona","Deportivo Alavés","400000"
"Víctor Álvarez","RCD Espanyol Barcelona","Arsenal Tula","0"
"Salva Sevilla","RCD Espanyol Barcelona","RCD Mallorca","0"
"Paco Montañés","RCD Espanyol Barcelona","CD Tenerife","0"
"Pape Diop","RCD Espanyol Barcelona","SD Eibar","0"
"Roberto Correa","RCD Espanyol Barcelona","Cádiz CF","0"
"Roberto","RCD Espanyol Barcelona","Málaga CF","Loan fee:0"
"Álvaro Vázquez","RCD Espanyol Barcelona","Gimnàstic de Tarragona","Loan fee:0"
"Hernán Pérez","RCD Espanyol Barcelona","Deportivo Alavés","Loan fee:0"
"José Antonio Reyes","RCD Espanyol Barcelona","Free agent","0"
"Diego Reyes","RCD Espanyol Barcelona","FC Porto","Loan End"
"Diego López","RCD Espanyol Barcelona","AC Milan","Loan End"
"Pablo Piatti","RCD Espanyol Barcelona","Valencia CF","Loan End"
"Rodrigo Ely","AC Milan","Deportivo Alavés","3000000"
"Antonio Sivera","Valencia Mestalla","Deportivo Alavés","2000000"
"Rubén Sobrino","Manchester City","Deportivo Alavés","2000000"
"Guillermo Maripán","CD Universidad Católica","Deportivo Alavés","1070000"
"Nando","Valencia CF","Deportivo Alavés","0"
"Enzo Zidane","Real Madrid Castilla","Deportivo Alavés","0"
"Mubarak Wakaso","Panathinaikos Athens","Deportivo Alavés","0"
"John Guidetti","Celta de Vigo","Deportivo Alavés","Loan fee:0"
"Rafa Páez","UCAM Murcia CF","Deportivo Alavés","?"
"Bojan Krkic","Stoke City","Deportivo Alavés","Loan fee:0"
"Anderson Emanuel","Club Rápido de Bouzas","Deportivo Alavés","?"
"Tomás Pina","Club Brugge KV","Deportivo Alavés","Loan fee:0"
"Álvaro Medrán","Valencia CF","Deportivo Alavés","Loan fee:0"
"Edgar Méndez","Deportivo Alavés","CD Cruz Azul","5000000"
"Zouhair Feddal","Deportivo Alavés","Real Betis Balompié","2500000"
"Nenad Krsticic","Deportivo Alavés","Red Star Belgrade","0"
"Raúl García","Deportivo Alavés","CD Leganés","0"
"Gaizka Toquero","Deportivo Alavés","Real Zaragoza","0"
"Enzo Zidane","Deportivo Alavés","FC Lausanne-Sport","0"
"Kiko Femenía","Deportivo Alavés","Watford FC","0"
"Anderson Emanuel","Deportivo Alavés","NK Rudes","Loan fee:0"
"Antonio Cristian","Deportivo Alavés","NK Rudes","Loan fee:0"
"Rafa Páez","Deportivo Alavés","NK Rudes","Loan fee:0"
"Nando","Deportivo Alavés","Lorca FC","Loan fee:0"
"Aleksandar Katai","Deportivo Alavés","Chicago Fire","Loan fee:0"
"Juanan Entrena","Deportivo Alavés","NK Rudes","Loan fee:0"
"Óscar Romero","Deportivo Alavés","Shanghai Greenland Shenhua","Loan End"
"Rodrigo Ely","Deportivo Alavés","AC Milan","Loan End"
"Deyverson","Deportivo Alavés","Levante UD","Loan End"
"Víctor Camarasa","Deportivo Alavés","Levante UD","Loan End"
"Rubén Sobrino","Deportivo Alavés","Manchester City","Loan End"
"Paulo Oliveira","Sporting CP","SD Eibar","3500000"
"Marko Dmitrovic","AD Alcorcón","SD Eibar","1000000"
"Yoel Rodríguez","Valencia CF","SD Eibar","750000"
"Fabián Orellana","Valencia CF","SD Eibar","Loan fee:400000"
"Iván Alejo","AD Alcorcón","SD Eibar","300000"
"José Ángel","FC Porto","SD Eibar","0"
"Charles","Málaga CF","SD Eibar","0"
"David Lombán","Free agent","SD Eibar","0"
"Sergio García","UD Logroñés","SD Eibar","Loan End"
"Pere Milla","UCAM Murcia CF","SD Eibar","Loan End"
"Unai Elgezabal","AD Alcorcón","SD Eibar","Loan End"
"Roger Escoruela","Real Unión Club","SD Eibar","Loan End"
"Juanfran","UD Logroñés","SD Eibar","Loan End"
"Jordi Calavera","CD Lugo","SD Eibar","Loan End"
"Jon Ander Felipe","UE Llagostera","SD Eibar","Loan End"
"Jon Ander Amelibia","UD Logroñés","SD Eibar","Loan End"
"Íñigo Barrenetxea","Sestao River","SD Eibar","Loan End"
"Thaylor","Real Unión Club","SD Eibar","Loan End"
"Florian Lejeune","SD Eibar","Newcastle United","10000000"
"Antonio Luna","SD Eibar","Levante UD","0"
"Sergio García","SD Eibar","Barakaldo CF ","0"
"Juanfran","SD Eibar","Marbella FC","0"
"Adrián González","SD Eibar","Málaga CF","0"
"Mauro dos Santos","SD Eibar","CD Leganés","0"
"Jon Ander Felipe","SD Eibar","CD Toledo","0"
"Thaylor","SD Eibar","Caudal Deportivo","0"
"Bebé","SD Eibar","Rayo Vallecano","Loan fee:0"
"Nano","SD Eibar","Levante UD","Loan fee:0"
"Pere Milla","SD Eibar","CD Numancia","Loan fee:0"
"Jordi Calavera","SD Eibar","Sporting Gijón","Loan fee:0"
"Unai Elgezabal","SD Eibar","CD Numancia","Loan fee:0"
"Pablo Hervías","SD Eibar","Real Valladolid CF","Loan fee:0"
"Alejandro Gálvez","SD Eibar","UD Las Palmas","Loan fee:0"
"Jon Ander Amelibia","SD Eibar","CD Vitoria","0"
"Íñigo Barrenetxea","SD Eibar","Free agent","0"
"Roger Escoruela","SD Eibar","CD Vitoria","0"
"Yoel Rodríguez","SD Eibar","Valencia CF","Loan End"
"Emanuel Cecchini","Club Atlético Banfield","Málaga CF","4600000"
"Esteban Rolón","Argentinos Juniors","Málaga CF","3200000"
"Diego González","Sevilla Atlético","Málaga CF","2000000"
"Ignasi Miquel","CD Lugo","Málaga CF","500000"
"Cenk Gönen","Galatasaray SK","Málaga CF","200000"
"Manuel Iturra","Club Necaxa","Málaga CF","0"
"Maxime Lestienne","Rubin Kazan","Málaga CF","0"
"Juankar","SC Braga","Málaga CF","0"
"Brown Ideye","Tianjin Teda Reserves","Málaga CF","Loan fee:0"
"Samu García","Levante UD","Málaga CF","Loan fee:0"
"Borja Bastón","Swansea City","Málaga CF","Loan fee:0"
"Alberto Bueno","FC Porto","Málaga CF","Loan fee:0"
"Isaac Success","Watford FC","Málaga CF","Loan fee:0"
"Mehdi Lacen","Getafe CF","Málaga CF","0"
"Álex Mula","Atlético Malagueño","Málaga CF","0"
"Luis Muñoz","Atlético Malagueño","Málaga CF","0"
"Miguel Cifuentes","Girona FC","Málaga CF","Loan End"
"Ricardo Horta","SC Braga","Málaga CF","Loan End"
"Adnane Tighadouini","Vitesse Arnhem","Málaga CF","Loan End"
"Guillermo Ochoa","Granada CF","Málaga CF","Loan End"
"Sandro Ramírez","Málaga CF","Everton FC","6000000"
"Emanuel Cecchini","Málaga CF","Club León FC","Loan fee:400000"
"Ricardo Horta","Málaga CF","SC Braga","0"
"Guillermo Ochoa","Málaga CF","Standard Liège","0"
"Carlos Kameni","Málaga CF","Fenerbahce SK","0"
"Jony","Málaga CF","Sporting Gijón","Loan fee:0"
"Adnane Tighadouini","Málaga CF","FC Twente Enschede","Loan fee:0"
"Javier Ontiveros","Málaga CF","Real Valladolid CF","Loan fee:0"
"Michael Santos","Málaga CF","Sporting Gijón","Loan fee:0"
"Álex Mula","Málaga CF","CD Tenerife","Loan fee:0"
"Luis Muñoz","Málaga CF","CD Lugo","Loan fee:0"
"Miguel Cifuentes","Málaga CF","Albacete Balompié","Loan fee:0"
"Duda","Málaga CF","Retired","0"
"Weligton","Málaga CF","Retired","0"
"Mikel Villanueva","Málaga CF","Cádiz CF","Loan fee:0"
"Martín Demichelis","Málaga CF","Retired","0"
"Juankar","Málaga CF","SC Braga","Loan End"
"Denys Boyko","Málaga CF","Besiktas JK","Loan End"
"Simone Zaza","Juventus FC","Valencia CF","16000000"
"Francis Coquelin","Arsenal FC","Valencia CF","14000000"
"Gabriel Paulista","Arsenal FC","Valencia CF","11000000"
"Neto","Juventus FC","Valencia CF","6000000"
"Fabián Orellana","Celta de Vigo","Valencia CF","3000000"
"Andreas Pereira","Manchester United","Valencia CF","Loan fee:3000000"
"Nemanja Maksimovic","FC Astana","Valencia CF","0"
"Geoffrey Kondogbia","Inter Milan","Valencia CF","Loan fee:0"
"Jeison Murillo","Inter Milan","Valencia CF","Loan fee:0"
"Toni Lato","Valencia Mestalla","Valencia CF","0"
"Nacho Gil","Valencia Mestalla","Valencia CF","0"
"Ferrán Torres","Valencia Mestalla","Valencia CF","0"
"Nacho Vidal","Valencia Mestalla","Valencia CF","0"
"Nando","Real Oviedo","Valencia CF","Loan End"
"Vinícius Araújo","SD Huesca","Valencia CF","Loan End"
"Álvaro Negredo","Middlesbrough FC","Valencia CF","Loan End"
"Robert Ibáñez","CD Leganés","Valencia CF","Loan End"
"Rúben Vezo","Granada CF","Valencia CF","Loan End"
"Mathew Ryan","KRC Genk","Valencia CF","Loan End"
"Mathew Ryan","Valencia CF","Brighton & Hove Albion","6000000"
"Enzo Pérez","Valencia CF","Club Atlético River Plate","2500000"
"Álvaro Negredo","Valencia CF","Besiktas JK","2500000"
"Nani","Valencia CF","SS Lazio","Loan fee:2000000"
"Aderllan Santos","Valencia CF","São Paulo Futebol Clube","Loan fee:800000"
"Diego Alves","Valencia CF","Clube de Regatas do Flamengo","300000"
"Vinícius Araújo","Valencia CF","Real Zaragoza","0"
"Robert Ibáñez","Valencia CF","Getafe CF","0"
"Nacho Gil","Valencia CF","UD Las Palmas","Loan fee:0"
"Zakaria Bakkali","Valencia CF","Deportivo de La Coruña","Loan fee:0"
"João Cancelo","Valencia CF","Inter Milan","Loan fee:0"
"Eliaquim Mangala","Valencia CF","Manchester City","Loan End"
"Mario Suárez","Valencia CF","Watford FC","Loan End"
"Simone Zaza","Valencia CF","Juventus FC","Loan End"
"Stanislav Lobotka","FC Nordsjaelland","Celta de Vigo","5000000"
"Maximiliano Gómez","Defensor Sporting Club","Celta de Vigo","4000000"
"Jozabed Sánchez","Fulham FC","Celta de Vigo","3500000"
"Robert Mazan","MSK Zilina","Celta de Vigo","300000"
"Lucas Boyé","Torino FC","Celta de Vigo","Loan fee:0"
"Theo Bongonda","Trabzonspor","Celta de Vigo","Loan End"
"Álvaro Lemos","RC Lens","Celta de Vigo","Loan End"
"Pedro Martín","CD Mirandés","Celta de Vigo","Loan End"
"Álex López","Real Valladolid CF","Celta de Vigo","Loan End"
"David Costas","Real Oviedo","Celta de Vigo","Loan End"
"Levy Madinda","Gimnàstic de Tarragona","Celta de Vigo","Loan End"
"Dejan Drazic","Real Valladolid CF","Celta de Vigo","Loan End"
"Theo Bongonda","Celta de Vigo","Trabzonspor","Loan fee:200000"
"Marcelo Díaz","Celta de Vigo","UNAM Pumas","0"
"Carles Planas","Celta de Vigo","Girona FC","0"
"Pedro Martín","Celta de Vigo","Real Murcia CF","0"
"Levy Madinda","Celta de Vigo","Asteras Tripolis","0"
"Álex López","Celta de Vigo","Sporting Gijón","0"
"Andrew Hjulsager","Celta de Vigo","Granada CF","Loan fee:0"
"Álvaro Lemos","Celta de Vigo","RC Lens","Loan fee:0"
"Claudio Beauvue","Celta de Vigo","CD Leganés","Loan fee:0"
"Iván Villar","Celta de Vigo","Levante UD","Loan fee:0"
"Josep Señé","Celta de Vigo","Cultural Leonesa","?"
"Jozabed Sánchez","Celta de Vigo","Fulham FC","Loan End"
"Giuseppe Rossi","Celta de Vigo","ACF Fiorentina","Loan End"
"Alberto Aquilani","Delfino Pescara 1936","UD Las Palmas","0"
"Loïc Rémy","Chelsea FC","UD Las Palmas","0"
"Gabriel Peñalba","CD Cruz Azul","UD Las Palmas","0"
"Leandro Chichizola","Spezia Calcio","UD Las Palmas","0"
"Ximo Navarro","UD Almería","UD Las Palmas","0"
"Hernán Toledo","Club Deportivo Maldonado","UD Las Palmas","Loan fee:0"
"Matías Aguirregaray","Club Tijuana","UD Las Palmas","Loan fee:0"
"Emmanuel Emenike","Olympiacos Piraeus","UD Las Palmas","Loan fee:0"
"Jonathan Calleri","Club Deportivo Maldonado","UD Las Palmas","Loan fee:0"
"Oghenekaro Etebo","CD Feirense","UD Las Palmas","Loan fee:0"
"Imoh Ezekiel","Free agent","UD Las Palmas","0"
"Borja Herrera","Las Palmas Atlético","UD Las Palmas","0"
"Mateo García","CA Osasuna","UD Las Palmas","Loan End"
"Tyronne","CD Tenerife","UD Las Palmas","Loan End"
"Alfredo Ortuño","Cádiz CF","UD Las Palmas","Loan End"
"Héctor Figueroa","SD Ponferradina","UD Las Palmas","Loan End"
"Sergio Araujo","AEK Athens","UD Las Palmas","Loan End"
"Roque Mesa","UD Las Palmas","Swansea City","12500000"
"Jonathan Viera","UD Las Palmas","Beijing Sinobo Guoan","11000000"
"Mauricio Lemos","UD Las Palmas","US Sassuolo","Loan fee:1000000"
"Sergio Araujo","UD Las Palmas","AEK Athens","Loan fee:500000"
"Marko Livaja","UD Las Palmas","AEK Athens","Loan fee:200000"
"Tyronne","UD Las Palmas","CD Tenerife","0"
"Javi Varas","UD Las Palmas","Granada CF","0"
"Hernán","UD Las Palmas","Sporting Gijón","0"
"Hélder Lopes","UD Las Palmas","AEK Athens","0"
"Héctor Figueroa","UD Las Palmas","CD Toledo","0"
"Aythami Artiles","UD Las Palmas","Córdoba CF","0"
"Ángel Montoro","UD Las Palmas","Granada CF","0"
"Loïc Rémy","UD Las Palmas","Getafe CF","Loan fee:0"
"Mateo García","UD Las Palmas","CA Osasuna","Loan fee:0"
"Borja Herrera","UD Las Palmas","Real Valladolid CF","Loan fee:0"
"Alfredo Ortuño","UD Las Palmas","Free agent","0"
"Víctor Camarasa","Levante UD","Real Betis Balompié","7000000"
"Sergio León","CA Osasuna","Real Betis Balompié","3500000"
"Andrés Guardado","PSV Eindhoven","Real Betis Balompié","2500000"
"Javi García","Zenit St. Petersburg","Real Betis Balompié","1500000"
"Antonio Barragán","Middlesbrough FC","Real Betis Balompié","1000000"
"Jordi Amat","Swansea City","Real Betis Balompié","Loan fee:0"
"Felipe Gutiérrez","Sport Club Internacional","Real Betis Balompié","Loan End"
"Joel Campbell","Arsenal FC","Real Betis Balompié","Loan fee:0"
"Rubén Castro","Guizhou Hengfeng","Real Betis Balompié","Loan End"
"Francis Guerrero","Betis Deportivo Balompié","Real Betis Balompié","0"
"Loren Morón","Betis Deportivo Balompié","Real Betis Balompié","0"
"Júnior Firpo","Betis Deportivo Balompié","Real Betis Balompié","0"
"Juan Narváez","Betis Deportivo Balompié","Real Betis Balompié","0"
"Dani Pacheco","Getafe CF","Real Betis Balompié","Loan End"
"Fabián Ruiz","Elche CF","Real Betis Balompié","Loan End"
"Francisco Portillo","Getafe CF","Real Betis Balompié","Loan End"
"Didier Digard","CA Osasuna","Real Betis Balompié","Loan End"
"Cristiano Piccini","Real Betis Balompié","Sporting CP","2870000"
"Petros","Real Betis Balompié","São Paulo Futebol Clube","2500000"
"Francisco Portillo","Real Betis Balompié","Getafe CF","1500000"
"Dani Pacheco","Real Betis Balompié","Getafe CF","1000000"
"Bruno González","Real Betis Balompié","Getafe CF","600000"
"Germán Pezzella","Real Betis Balompié","ACF Fiorentina","Loan fee:500000"
"Alin Tosca","Real Betis Balompié","Benevento Calcio","Loan fee:100000"
