"Player","Source","Target","Value"
"Nicolai Rapp","TSG 1899 Hoffenheim","FC Erzgebirge Aue","50000"
"Pirmin Schwegler","TSG 1899 Hoffenheim","Hannover 96","0"
"Danilo Soares","TSG 1899 Hoffenheim","VfL Bochum","0"
"Russell Canouse","TSG 1899 Hoffenheim","D.C. United","?"
"Philipp Ochs","TSG 1899 Hoffenheim","VfL Bochum","Loan fee:0"
"In-hyeok Park","TSG 1899 Hoffenheim","FK Vojvodina Novi Sad","Loan fee:0"
"Benedikt Gimber","TSG 1899 Hoffenheim","SSV Jahn Regensburg","Loan fee:0"
"Jhon Córdoba","1.FSV Mainz 05","1. FC Köln","17000000"
"Jannes Horn","VfL Wolfsburg","1. FC Köln","7000000"
"Jorge Meré","Sporting Gijón","1. FC Köln","7000000"
"Vincent Koziello","OGC Nice","1. FC Köln","3000000"
"Simon Terodde","VfB Stuttgart","1. FC Köln","3000000"
"Claudio Pizarro","Free agent","1. FC Köln","0"
"Anthony Modeste","1. FC Köln","Tianjin Quanjian","Loan fee:5700000"
"Konstantin Rausch","1. FC Köln","Dinamo Moscow","1500000"
"Marcel Hartel","1. FC Köln","1.FC Union Berlin","250000"
"Artjoms Rudnevs","1. FC Köln","Retired","0"
"Mathew Leckie","FC Ingolstadt 04","Hertha BSC","3000000"
"Karim Rekik","Olympique Marseille","Hertha BSC","2500000"
"Valentino Lazaro","Red Bull Salzburg","Hertha BSC","Loan fee:500000"
"Jonathan Klinsmann","California Golden Bears (UC Berkeley)","Hertha BSC","0"
"John Anthony Brooks","Hertha BSC","VfL Wolfsburg","17000000"
"Sebastian Langkamp","Hertha BSC","SV Werder Bremen","2500000"
"Alexander Baumjohann","Hertha BSC","Coritiba Foot Ball Club","0"
"Valentin Stocker","Hertha BSC","FC Basel 1893","0"
"Sami Allagui","Hertha BSC","FC St. Pauli","0"
"Florian Kohls","Hertha BSC","Würzburger Kickers","0"
"Genki Haraguchi","Hertha BSC","Fortuna Düsseldorf","Loan fee:0"
"Nils Körber","Hertha BSC","Preußen Münster ","Loan fee:0"
"Yoric Ravet","BSC Young Boys","SC Freiburg","4500000"
"Robin Koch","1.FC Kaiserslautern","SC Freiburg","4000000"
"Florian Niederlechner","1.FSV Mainz 05","SC Freiburg","2300000"
"Lucas Höler","SV Sandhausen","SC Freiburg","1100000"
"Philipp Lienhart","Real Madrid Castilla","SC Freiburg","Loan fee:500000"
"Bartosz Kapustka","Leicester City","SC Freiburg","Loan fee:500000"
"Patrick Kammerbauer","1.FC Nuremberg","SC Freiburg","350000"
"Gaëtan Bussmann","1.FSV Mainz 05","SC Freiburg","Loan fee:0"
"Florian Kath","1.FC Magdeburg","SC Freiburg","Loan End"
"Fabian Menig","VfR Aalen","SC Freiburg","Loan End"
"Tim Kleindienst","1.FC Heidenheim 1846","SC Freiburg","Loan End"
"Caleb Stanko","FC Vaduz","SC Freiburg","Loan End"
"Jonas Meffert","Karlsruher SC","SC Freiburg","Loan End"
"Fabian Schleusener","FSV Frankfurt","SC Freiburg","Loan End"
"Sebastian Kerk","1.FC Kaiserslautern","SC Freiburg","Loan End"
"Vincenzo Grifo","SC Freiburg","Borussia Mönchengladbach","6000000"
"Onur Bulut","SC Freiburg","Eintracht Braunschweig","900000"
"Sebastian Kerk","SC Freiburg","1.FC Nuremberg","500000"
"Havard Nielsen","SC Freiburg","Fortuna Düsseldorf","400000"
"Fabian Menig","SC Freiburg","Preußen Münster ","0"
"Marc Torrejón","SC Freiburg","1.FC Union Berlin","0"
"Jonas Föhrenbach","SC Freiburg","Karlsruher SC","Loan fee:0"
"Fabian Schleusener","SC Freiburg","Karlsruher SC","Loan fee:0"
"Amir Falahen","SC Freiburg","Free agent","0"
"Florian Niederlechner","SC Freiburg","1.FSV Mainz 05","Loan End"
"Milot Rashica","Vitesse Arnhem","SV Werder Bremen","7000000"
"Ludwig Augustinsson","FC Copenhagen","SV Werder Bremen","4500000"
"Jiri Pavlenka","SK Slavia Prag","SV Werder Bremen","3000000"
"Jérôme Gondorf","SV Darmstadt 98","SV Werder Bremen","1200000"
"Ishak Belfodil","Standard Liège","SV Werder Bremen","Loan fee:650000"
"Yuning Zhang","West Bromwich Albion","SV Werder Bremen","Loan fee:300000"
"Marnon Busch","TSV 1860 Munich","SV Werder Bremen","Loan End"
"László Kleinheisler","Ferencvárosi TC","SV Werder Bremen","Loan End"
"Levent Aycicek","TSV 1860 Munich","SV Werder Bremen","Loan End"
"Lennart Thy","FC St. Pauli","SV Werder Bremen","Loan End"
"Leon Guwara","SV Darmstadt 98","SV Werder Bremen","Loan End"
"Thanos Petsos","Fulham FC","SV Werder Bremen","Loan End"
"Felix Wiedwald","SV Werder Bremen","Leeds United","500000"
"Levent Aycicek","SV Werder Bremen","SpVgg Greuther Fürth","200000"
"Marnon Busch","SV Werder Bremen","1.FC Heidenheim 1846","100000"
"László Kleinheisler","SV Werder Bremen","FC Astana","Loan fee:100000"
"Santiago García","SV Werder Bremen","Deportivo Toluca","0"
"Izet Hajrovic","SV Werder Bremen","GNK Dinamo Zagreb","0"
"Raphael Wolf","SV Werder Bremen","Fortuna Düsseldorf","0"
"Melvyn Lorenzen","SV Werder Bremen","ADO Den Haag","0"
"Thanos Petsos","SV Werder Bremen","Rapid Vienna","Loan fee:0"
"Lamine Sané","SV Werder Bremen","Orlando City SC","?"
"Lennart Thy","SV Werder Bremen","VVV-Venlo","Loan fee:0"
"Sambou Yatabaré","SV Werder Bremen","Royal Antwerp FC","Loan fee:0"
"Leon Guwara","SV Werder Bremen","1.FC Kaiserslautern","Loan fee:0"
"Ulisses Garcia","SV Werder Bremen","1.FC Nuremberg","Loan fee:0"
"Clemens Fritz","SV Werder Bremen","Retired","0"
"Claudio Pizarro","SV Werder Bremen","Free agent","0"
"Denis Zakaria","BSC Young Boys","Borussia Mönchengladbach","12000000"
"Raúl Bobadilla","FC Augsburg","Borussia Mönchengladbach","2000000"
"Florian Neuhaus","TSV 1860 Munich","Borussia Mönchengladbach","0"
"Reece Oxford","West Ham United","Borussia Mönchengladbach","Loan fee:0"
"Julio Villalba","Club Cerro Porteño","Borussia Mönchengladbach","Loan End"
"André Hahn","Borussia Mönchengladbach","Hamburger SV","6000000"
"Timothée Kolodziejczak","Borussia Mönchengladbach","Tigres UANL","5000000"
"Julian Korb","Borussia Mönchengladbach","Hannover 96","3000000"
"Djibril Sow","Borussia Mönchengladbach","BSC Young Boys","2000000"
"Florian Neuhaus","Borussia Mönchengladbach","Fortuna Düsseldorf","Loan fee:80000"
"Tsiy William Ndenge","Borussia Mönchengladbach","Roda JC Kerkrade","Loan fee:0"
